season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,objectid,hour,date,month,is_weekend
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:22:00,Hyde Park,4.0,7,67,494,14703,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:26:00,Readville,5.0,14,71,437,14704,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:30:00,Endicott,6.0,1,63,375,14705,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:33:00,Dedham Corp Center,7.0,0,60,315,14706,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:36:00,Islington,8.0,0,54,261,14707,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:39:00,Norwood Depot,9.0,2,83,180,14708,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:43:00,Norwood Central,10.0,0,85,95,14709,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:47:00,Windsor Gardens,11.0,0,48,47,14710,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 17:04:00,Foxboro,12.0,0,47,0,14711,17,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 17:50:00,Foxboro,1.0,9,0,9,14712,17,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:05:00,Norwood Central,2.0,9,0,18,14713,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:07:00,Norwood Depot,3.0,3,0,21,14714,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:11:00,Islington,4.0,1,0,22,14715,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:13:00,Dedham Corp Center,5.0,2,0,24,14716,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:16:00,Endicott,6.0,2,0,26,14717,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:20:00,Readville,7.0,0,1,25,14718,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:31:00,Ruggles,8.0,4,4,25,14719,18,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,754,1,day_type_01,weekday,2024-01-01 18:35:00,Back Bay,9.0,6,5,26,14720,18,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,823,0,day_type_01,weekday,2024-01-01 15:57:00,Back Bay,2.0,73,3,400,14721,15,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:49:00,Sharon,6.0,0,6,46,14722,11,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:32:00,Attleboro,4.0,136,2,372,14723,7,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:44:00,Fairmount,8.0,0,13,37,14724,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,823,0,day_type_01,weekday,2024-01-01 16:01:00,Ruggles,3.0,74,6,468,14725,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:23:00,Fairmount,9.0,0,0,1,14726,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:57:00,Mansfield,7.0,3,10,39,14727,11,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:42:00,Mansfield,5.0,142,4,510,14728,7,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:50:00,Readville,9.0,17,7,47,14729,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,823,0,day_type_01,weekday,2024-01-01 16:17:00,Sharon,4.0,0,53,415,14730,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:26:00,Blue Hill Avenue,10.0,0,0,1,14731,23,2024-01-01,1,0
